lang,tier
bbj_Latn,script
bbk_Latn,script
bbo_Latn,genus_script
bbr_Latn,script
bch_Latn,script
bci_Latn,family_script
bcl_Latn,genus_script
bco_Latn,family_script
bcw_Latn,family_script
bdd_Latn,script
bdh_Latn,genus_script
bdq_Latn,family_script
bea_Latn,script
bef_Latn,genus_script
bel_Cyrl,genus_script
bem_Latn,genus_script
ben_Beng,script
ben_Latn,genus_script
beq_Latn,genus_script
bew_Latn,genus_script
bex_Latn,genus_script
bfd_Latn,family_script
bfo_Latn,script
bgr_Latn,genus_script
bgs_Latn,script
bgt_Latn,script
bgz_Latn,family_script
bhg_Latn,genus_script
bhl_Latn,script
bho_Deva,genus_script
bhp_Latn,family_script
bhw_Latn,family_script
bhz_Latn,script
bib_Latn,family_script
big_Latn,script
bim_Latn,genus_script
bin_Latn,genus_script
bis_Latn,genus_script
biu_Latn,script
biv_Latn,script
bjn_Arab,script
bjn_Latn,script
bjp_Latn,script
bjr_Latn,family_script
bjv_Latn,script
bkd_Latn,genus_script
bkl_Latn,script
bkq_Latn,genus_script
bku_Latn,script
bkv_Latn,script
bla_Latn,script
blh_Latn,script
blk_Mymr,script
blt_Latn,script
blw_Latn,genus_script
blz_Latn,family_script
bmh_Latn,script
bmk_Latn,script
bmq_Latn,script
bmr_Latn,script
bmu_Latn,genus_script
bmv_Latn,script
bnj_Latn,script
bno_Latn,script
bnp_Latn,script
boa_Latn,script
bod_Tibt,none
boj_Latn,script
bom_Latn,family_script
bon_Latn,script
bor_Latn,script
bov_Latn,script
box_Latn,script
bpr_Latn,family_script
bps_Latn,script
bpy_Beng,script
bqc_Latn,family_script
bqj_Latn,script
bqp_Latn,family_script
bre_Latn,genus_script
brh_Arab,script
bru_Latn,family_script
brx_Deva,script
brx_Latn,genus_script
bsc_Latn,family_script
bsn_Latn,script
bsp_Latn,family_script
bsq_Latn,script
bss_Latn,script
btd_Latn,script
bth_Latn,family_script
bts_Latn,script
btt_Latn,script
btx_Latn,genus_script
bud_Latn,genus_script
bug_Latn,genus_script
buk_Latn,script
bul_Cyrl,genus_script
bum_Latn,genus_script
bus_Latn,script
bvc_Latn,script
bvd_Latn,script
bvr_Latn,script
bvz_Latn,script
bwd_Latn,script
bwi_Latn,family_script
bwq_Latn,script
bwu_Latn,genus_script
bxh_Latn,script
bxr_Cyrl,script
byr_Latn,family_script
byv_Latn,script
byx_Latn,script
